name,img,url,logo,category,description,Shop_Location,location,reviews,rating,nationalPhoneNumber,opening_hours
Cosmic Cookware & Montigo,https://www.sunwaypyramid.com/static/shops/7124ee8edc2c710311be6313f8e2a6fe/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/cosmic-cookware-and-montigo,https://www.sunwaypyramid.com/static/shops/f8918ed939dd836b1bc9f5fc9c45e956/w768.png,Home & Living,,LG2.ESC1 (Lower Ground 2 Floor),"3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Very large. If I lived here, I would take a few months to even fully explore the place, much less try out all of the stores. Pretty fun, lots to eat and shop, so honestly it's worth living nearby. Food isn't very pricey so that's also a plus. | review_rating:4, text:As a frequent visitor, here’s my take on Sunway Pyramid:
•	Diverse Shopping: With a wide array of shops, it caters to all family members, from fashion to gadgets.
•	Family-Friendly Activities: The mall features an indoor ice-skating rink and a massive arcade that are perfect for kids and adults alike. My daughter loves to play at Parenthood. They have upgraded it too recently and we enjoyed it.
•	Food Haven: Offers an extensive selection of dining options from fast food to upscale restaurants. For Indian food you can try Mantra Restaurant (Not great but decent)
•	Convenient Layout: Despite its size, the mall is well-organized, making navigation easy.
•	Themed Decor: The Egyptian-inspired architecture adds a unique charm, making every visit memorable.

It is connected to Sunway Lagoon. | review_rating:5, text:Sunway Pyramid is truly a shopper’s paradise and a fantastic destination for entertainment, dining, and more. The mall is enormous, with a wide variety of stores ranging from luxury brands to affordable options. The unique Egyptian-themed architecture makes it stand out, creating a visually stunning experience as you explore. The food court offers an excellent selection of delicious cuisines, and there’s always something happening, from events to exciting attractions. The staff is friendly, and the facilities are well-maintained. A perfect place for a family outing or a day of shopping—highly recommend! | review_rating:5, text:Sunway Pyramid is truly a gem in the heart of the city! From the moment you step inside, you’re greeted with a vibrant atmosphere and an impressive array of shops, making it a perfect destination for shopping, dining, and entertainment. The mall is vast, with a wide variety of stores, from high-end fashion boutiques to trendy local brands, ensuring there’s something for everyone.

The design of the mall itself is stunning, with its iconic Egyptian-themed architecture adding a unique flair. The spacious layout makes it easy to navigate, and the many open areas and atriums offer a refreshing break from shopping.

What stands out the most is the variety of dining options. Whether you’re in the mood for casual bites or fine dining, Sunway Pyramid has it all. From international cuisines to local favorites, the food court and restaurants offer a delightful selection to suit any taste.

For entertainment, the options are just as diverse. Whether you’re catching the latest blockbuster at the cinema, having fun at the ice skating rink, or exploring the interactive attractions, there’s never a dull moment at this mall.

The staff are always friendly, and the overall experience is top-notch. Sunway Pyramid truly caters to every need, making it a perfect spot for family outings, friends’ gatherings, or solo trips. A place where shopping meets fun and excitement—highly recommend it! | review_rating:5, text:My visit to Sunway Pyramid was an incredible experience. This iconic shopping mall, with its distinctive pyramid-shaped exterior, offers a unique blend of shopping, dining, and entertainment. The vast array of stores includes both high-end brands and popular retail chains, catering to all tastes and budgets. The themed sections, like the Egyptian-inspired design, add an extra touch of excitement and novelty. We also had the chance to watch live ice hockey, which was an unexpected thrill! The mall is so large that we could only explore about a quarter of it in a day. The food court and various restaurants provide a diverse selection of cuisines. Whether you're shopping, dining, or enjoying the entertainment, Sunway Pyramid offers a vibrant and memorable experience 🛍️🍔🏰🏒",4.5,+60 3-7494 3100,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Cotton On,https://www.sunwaypyramid.com/static/shops/32120ec72de83840f81e09ecf53db70a/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/cotton-on,https://www.sunwaypyramid.com/static/shops/bd46c940f9b06502a63bf020b4c985d4/w768.png,Fashion,"Fashion giant Cotton On has a huge retail outlet in Sunway Pyramid, the perfect shopping haven to cater to all your fashion desires and wardrobe necessities! As one of the eight brands under the Cotton On Group, the largest global retailer from Australia, the brand has currently expanded over a span of roughly 30 years to set up over 600 stores worldwide. Cotton On is synonymous with its trendy selections of womenswear, menswear and accessories, and also its proactive initiatives in sustainability. The brand is said to deliver the hottest trends always with their own twist on it, and to inspire the community to have fun with it. The brand carries such a wide array of products you’ll be there for hours. For bottom pieces, ladies can choose from short to maxi dresses and skirts, shorts, leggings, denim skirts, chinos or jeans (in different styles: skinny, wide, high-rise, mom, straight, cropped). Tops offered at their outlet included shirts and blouses, graphic T-shirts, long sleeve tops, T-shirts, basic tops, coats, jackets, sweaters and cardigans. Other apparel available includes active wear, sleepwear, lingerie, maternity wear and swimwear. Check out the shoe section for an assortment of sneakers, sandals, sliders and flats, and the accessory section where you’ll find pretty necklaces, bracelets, earrings and hair accessories. Men also have a variety of apparel to choose from. Their choices of top pieces include basic tees, tank tops, t-shirts, polo shirts, long sleeve tops, graphic T-shirts, hoodies, sweaters, long sleeve shirts, short sleeve shirts, jackets and coats. Match that top with any of their pants (joggers, chinos, sweatpants), shorts (denim, chinos, swim), or jeans (skinny, straight, jogger, slim). Don’t forget to grab a pair of shoes at the outlet too! The kids wear at Cotton On has a collection for babies including new-born essentials, bibs, tops, bottoms, overalls, playsuits, dresses, all in ones and bodysuits, swimwear and even knitwear. For the little ones that are slightly older, the brand has a selection of tops, bottoms, dresses, overalls, costumes, swimwear, socks, underwear, pyjamas and shoes for those between the ages of 1 – 10 years old.",LG1.131 (Lower Ground 1 Floor),"LG1.130 & LG1.131, Pyramid, Sunway Pyramid, Shop, 3, Jalan PJS 11/16, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:3, text:Casual clothing store for both her and him. All prices were generally higher than I expected. Couldn't find any garment that was made of 100% cotton. | review_rating:5, text:Mohd Shazwan the supervisor was awesome! Had perks voucher drama and he calmly helped me, WHILE charging my phone. Well done for doing a fab job managing an annoyed customer;) | review_rating:5, text:Had a great experience with retail staff, Alex. The sweetest, most patient n  helpful person   😊
Thank you, Alex! | review_rating:5, text:God bless YOUUUU🤭🤭🤭🙏🏽🙏🏽🙏🏽thank youuuu soooo muchhhhh💞💞 | review_rating:1, text:Staff at Sunway Pyramid are rude, especially the ones working at the counters.

On 2nd of February 2019, at 8:58 I had a nasty encounter with 3 cashiers with foul attitudes towards me wanting to swap my change for a better note (the one they gave me had a significantly big hole on it) as not all stores accept torn notes. The male cashier (MUHD SYAFIQ) pretended to exchange the note but instead gave me the same one with a hole (he covered it with his fingers). The other male (AHMAD AMNAN) who was in charge of handling my purchase completely ignored my request to change notes and walked off. Not only are the staff ignorant and dishonest, a female salesperson/cashier (idrk) mocked at my request to change notes. She even made the comment saying ""It is still accepted"" and continued to make rude comments on me to her co-workers.

These behaviors are not what staff who are working at the service industry should have. They are clearly not well behaved and that reflects on how the shopping experience at cotton on is terrible.",4.3,+60 3-5613 5500,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Country's Tid Bits & Candies Cottage,https://www.sunwaypyramid.com/static/shops/5e983d9a85ef4a99cd34df087c9122fa/w768-crop.jpg,https://www.sunwaypyramid.com/directory/countrys-tid-bits-and-candies-cottage,https://www.sunwaypyramid.com/static/shops/e2999fbf406fb6edc22e4321c90b2e70/w768.png,Food & Beverages,"Retailing of snack, souvenirs and related products.",LG2.91 (Lower Ground 2 Floor),"LG2.93, 3, Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:with in sunway pyramid lg2.
very nice and well decorated shop.u can try as many as u can before buying! staffs r very helpfull | review_rating:1, text:Came back after 10 years, and the staff's attitude is still just as bad as it was back then | review_rating:1, text:1st time bought tidbits that are stale compare to other places and the staffs there doesnt even bother to serve you. Standing at the counter with black face waiting you to pay and go. Never gonna visit this place anymore again. | review_rating:4, text:Good place to have dry fruits, jelly type chocolates, biscuits,nuts here. There are lots of varieties here.

It's within the sunway pyramid mall.

Here dry fruits, chocolates are not packed you can take as much you want, it's sale as per gram basis. | review_rating:2, text:My pumpkin seeds & sunflower seeds “masuk angin” already, not crunchy. And one pack the lady didn’t seal properly, the seeds dropped everywhere. Expensive place to purchase candies too.",2.3,+60 3-5638 3129,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Coway,https://www.sunwaypyramid.com/static/shops/ddbe20f73e26fca83d98a0673b888231/w768-crop.jpg,https://www.sunwaypyramid.com/directory/coway,https://www.sunwaypyramid.com/static/shops/bfb3aabbeeaa3a7f59d1f802a6ad6954/w768.png,Home & Living,"Retailing of water purifier, air purifier and mattress only.","LG2.059, PushCart (Lower Ground 2 Floor)","LG2-PC.059, Sunway Pyramid, 3, Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Good service & reliable 👍👍 | review_rating:5, text:👍🏻👍🏻 | review_rating:5, text:No Review",5,+60 17-408 7300,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Crocs,https://www.sunwaypyramid.com/static/shops/7f5120d241cd26b39c7a7c43b3921aa1/w768-crop.jpeg,https://www.sunwaypyramid.com/directory/crocs,https://www.sunwaypyramid.com/static/shops/02347c56d2422ccf34f0c86e603003c3/w768.png,Footwear,,F1.55B (First Floor),"3, E10, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:4, text:Come to purchase this shoes for the first time for this brand but in my mind still 50/50 since I read preview review from others and i decide to not buy since the are no staff approach me and atleast telling me what kind of promotion in this shop or watsoever 😌All the item are so cute and affordable (Rm299-600) | review_rating:1, text:No star for cros. DO NOT BUY THIS POOR QUALITY PRODUCT. We bought a Jibby yesterday and today it’s broken. Shop refuse to replace it and gave all sorts of excuses. Never trust this product again! | review_rating:2, text:Poor customer service, not in the mood to get few things or accessories for my crocs since staff busy and enjoy chatting among themselves.. most disappointing part not even approaching or welcoming customer… maybe HR should send them for PR training… | review_rating:1, text:DO NOT BUY FROM THIS CROCS STORE  worst. Store from here asked for 40 rm for one button on a shoe  buy from   Other crocs store | review_rating:1, text:Crocs Malaysia is loosing lots of sales. High demand on the shoes but no stock for years. Wake up crocs. The good economy is back but you guys are still sleeping.",3.1,+60 3-5633 6801,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Crossover,https://www.sunwaypyramid.com/static/shops/feeade33d66ad01b4545ee4d71b3b388/w768-crop.jpg,https://www.sunwaypyramid.com/directory/crossover,https://www.sunwaypyramid.com/static/shops/5d083a76f7a308999918b1e4a0ee9330/w768.png,Fashion,"Humble beginnings are often paired with the greatest dreams. The year was 2005. Crossover started as a small sneaker store in the capital of Johor to breathe and bridge a culture of fashion, music and lifestyle. The man accountable? None other than the self-proclaimed sneaker freak himself - a visionary and a believer of self-expression and the power of individualism.
In no time at all, Crossover was making the rounds across the local scene, criss-crossing for a local takeover like tic-tac-toe. And over a decade later, Crossover has established itself as the pinnacle exclusive sneaker and streetwear house
brand in Malaysia, owing to its adamant obsession and passion as the top playa and of course, the love and support from the local scene.
Its rising popularity has placed it on the radar as one of the leaders of the best-In-class streetwear retailers, delivering only the most authentic experiences in the industry.",F1.65 & F1.66 (First Floor),"F1-65 & F1-66, 1st Floor, Sunway Pyramid, 3, Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:3, text:Nice shop, however store employees are not friendly. | review_rating:5, text:Staff were helpful to attend to any queries. The new concept of the store is nice. One of the best streetwear stores in Malaysia. Long live Crossover | review_rating:1, text:The staff's behavior and attitude left me with negative impression of the brand's customer service, and I decided not to buy anything due to the unpleasant experience. The management should give more customer service skills training to the staff . Thank you . | review_rating:5, text:Great costumer service by all the staff here especially this guy right here! This guy also have a good sense of fashion! Good job 👍🏻 | review_rating:5, text:Good sevice from azim,nukman and adli. Always guide me to make a purchase, good language and good style. 💯💯👍👍",4.5,+60 3-5636 3338,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Cruz,https://www.sunwaypyramid.com/static/shops/cc80dec337700f1f31016a396687fc34/w768-crop.jpg,https://www.sunwaypyramid.com/directory/cruz,https://www.sunwaypyramid.com/static/shops/e703c0b406358d6b3b13c560fcedc22a/w768.png,Fashion,"With that next event coming up right around the corner and you haven’t found the perfect dress yet, put all your worries aside and head on over to Cruz at Sunway Pyramid! This fashion retailer has such a wide array of dresses and gowns, you won’t just the find that one perfect dress, you’ll probably end up finding several perfect dresses for you! What’s your preference? A short mini dress that’s easy to move around in? Or perhaps a maxi gown to fulfil your childhood dreams of wanting to be a princess for the night? Your eyes will have a feast as you browse through their racks of gowns, and what’s more, they’re all reasonably priced. You can even find apparel for as low as below three digits, now that is a steal! Who ever said that it cost a bomb to look gorgeous definitely has yet to step into Cruz. With different fabrics for their apparel, you can opt for gowns and dresses available in velvet, chiffon, tulle, lace and more. Try on different dresses to find out what suits you best, whether it’s something minimalistic, super flowy and airy, or body-hugging, with a lot of sequins and glitter, you name it, they’ve got it!",LG1.27 (Lower Ground 1 Floor),"3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:1, text:Worst service from owner.
Came to the store and requested the dress Im looking for. Went to fitting room and started changing.

The fitting room there were no doors only curtain that hang at the door frame to cover.
2 curtains from both sides per fitting room.

Was changing the dress halfway. The owner did not ask for my consent not inform me anything and just barged in and looked at me wearing the dress halfway. She asked ok or not after that and thought Ididnt know how to wear the dress correctly as ifs upside down/flippers over. I said ok then I said I can do it I'm wearing now. Then she left but the curtain was left opened about half.

Complaints:
Did not ask for my permission/consent before coming in.
Did not inform me verbally before coming in.
Did not have my INFORMED CONSENT before coming in.
Invasion of privacy (doesn't matter if they have their clothes on or not)
The cctv was angled outside the fitting room. This incident was RECORDED and there is a solid evidence. If there's none from the footage, I believe you have probably deleted it. But I have witnesses as well.

I've read your reviews and turns out I'm not the only victim that encounter this. You either apologize or might as well shut down the store. With that kind of behavior I don't think anyone would even come and help/support with your business.

I felt to traumatized and speechless during that incident because it was very random and unexpected and I was not even informed. I was so close to burst out in tears full of fear but I managed to handle it well.

So what if you're a female? Does that give you any rights for you to just barged in like that without my consent? You're not even my family member nor friends what gives you the right to treat your customers like that? Did no one teach you how to respect others privacy?

Please fix your behavior. I will not report you to the police but I will make sure others know about your behavior. Either you fix it now or you can start to prepare yourself in court. Tq. | review_rating:5, text:don't have enough salesperson to assist , is more of selfservice like mcdonald somehow is happy with the purchase | review_rating:1, text:Staff has terrible attitude towards customer | review_rating:1, text:service rude. i tengah try baju main buka je langsir 😡 and dari mula masuk sampai habis asyik follow belakang i. harap boleh diperbaiki | review_rating:1, text:No Review",1.8,+60 3-5622 1244,"Monday: Closed, Tuesday: Closed, Wednesday: Closed, Thursday: Closed, Friday: Closed, Saturday: Closed, Sunday: 10:00 AM – 10:00 PM"
Crystal Treasures,https://www.sunwaypyramid.com/static/shops/9623e02dbac26eb321e541eb29349290/w768-crop.jpg,https://www.sunwaypyramid.com/directory/crystal-treasures,https://www.sunwaypyramid.com/static/shops/882bae81474d7b1696c3193255978083/w768,Home & Living,"Retailing of Gem Stones, Jades, Semi-precious Stones, Jewelry, Crystal, Sculpture & Pearl.",LG2.12 (Lower Ground 2 Floor),"LG2.12 lower ground floor, Sunway Pyramid, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:1, text:I am a regular customer at lucky gem .Usually, I went to Mid Valley or Lalaport branch. Service at mid valley or lalaport is good . However, This is the first time I went to pyramid branch and the service was terrible. There is a very rude , wearing spec skinny aunty. Her face is like owning her some million dollar and asked her opinion. She is not patient to answer my question.The string prior adjust , she asked me is it to fix at this point. However, it ended up wearing tightly . I asked her to readjust it but she reluctant and mentioned that it is normal and was told that it will loosen after wearing many times . She mentioned that if is consider tight, my hand will have mark. I asked to readjust for 3 times and more she still reluctant and she did not provide me the extra crystal , until I asked it. At the end of day, I wore it for a day and there is really mark on my hand.
I will not visit this branch anymore. Dear management , please ensure a good customer service at this branch. Mid valley or Lala port branch will advise me whether which length fits me. | review_rating:1, text:What a disappointment !
I'm a regular customer of Lucky Gems but, the branch I usually went to is Sunway Velocity and Midvalley. Since I shopping in the mall I decided to went inside for a stringing service.

What a rude long hair, wearing spectacle, skinny aunty ! What do you meant you cannot help to string ? What do you meant you scare the beads will gone or get stolen because too busy with customer ? Hello ! Please use your common sense, I'm sitting at the counter there and you are in front of me. You dare to say, you need to serve customer when half-way stringing my bracelet ?

I already come inside sit there patiently waiting you to finish serve the customer before me,  but when another customer come in you straight ran to her. Hello please, is stringing not worth your time and commission ? Please don't work in this service industry if you have such judging character aunty.

Management please educate your staff before allowing them to serve customer and take our customer complaints seriously. | review_rating:1, text:I was extremely disappointed with the staff working here, she was really rude towards me. I wanted to buy a birthstone for my mother in law, and when I asked her if they sold birthstones here, she raised her voice and never gave me a yes or no answer. I thought I could get advice about the birthstones and how they would be set as well as their charges, but this particular staff who was an older female was very crude in her answers. She should not be working there, I hope the management does something about this. As a customer looking to buy something pricey,I would expect better treatment at the very least. I walked out without even having a look at their selections just because of her rude behaviour. Utterly disappointing! | review_rating:2, text:Bought a rose quartz bracelet from here. Quality varies so choose properly. I asked if the piece I picked is with a discount and the female staff who attended to me calculated the price like as if I’m buying gold! Not once but 3 times to assure me she’s giving me the best deal, it was so funny I played along! I’m not sure if the final price is fixed or I’ve been cheated but it was within my budget for a gift, so I took it. | review_rating:1, text:I have been a very regular customer of them and on single purchase I spend almost 4-5k but i was away from country for 1 year and once i got back i wanted something specific and since i was staying in my in law house this time in Seremban i didnt want to travel so far away so i called up the shop asking to send 1 pic only of the item the staff was saying the line connection in shop is bad and annoying part is the staff even didnt bother to use their own mobile to send the picture. Totally regret purchasing from them and in future will never even step into your shop.",2.7,+60 3-5621 0858,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Cubix,https://www.sunwaypyramid.com/static/shops/d76d11698742e1fe4fc5eb69bf623fce/w768-crop.jpg,https://www.sunwaypyramid.com/directory/cubix,https://www.sunwaypyramid.com/static/shops/073b04aa4b07e9a85ebf87d35e8c5fa5/w768.png,Asian Avenue,Retailing crafted gifts and souvenirs product.,F1.AV.01 (First Floor),"Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:1, text:This stores staff are absolutely disgusting, i was the only one in the store and all they did was stare at me! They need to properly train their staff to normally work and not disturb their customers, moreover their products quality is disgusting for the price, i mean you can find better quality items for half the price at other stores! This store is just a heavy money wanting business that doesnt care about their customers. | review_rating:1, text:made me pay 4x the price of something i dropped and absolutely disgusting behaviour as they cussed at me. Please don't come here. | review_rating:1, text:Went to sunway pyramid yesterday. They placed a barking toy dog in front of the outlet, which I believed to attract customers. Caught my daughter attention and she go over to lightly tap its head, not even bringing it down.

Then there was this aunty in red colour shirt waved to her, indicating her to remove her hand. If that's the case, then either you put it in a display box or at least put some note stating no touching or whatever.

I thought is a very expensive toys and have a quick check, where shopee selling it for less than RM20, half the price from your retail. I don't mind getting it from your shop since my daughter like it but with this kind of attitude, No thanks. | review_rating:1, text:extremely rude auntie. no integrity and very bad service. Even if this shop gives out free things, i will never go there again. First and last time. How can someone treat people so rudely is something i can never imagine. All the reviews here are right, should have seen the reviews before coming to this place. utterly disappointed that sunway pyramid has a store like this. | review_rating:1, text:fake Pokemon cards.. don't come here if U want Pokemon cards",2.2,+60 3-5638 3902,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
D'NATUREL,https://www.sunwaypyramid.com/static/shops/4cac0d397762acb661a571eb9bfdf326/w768-crop.jpg,https://www.sunwaypyramid.com/directory/dnaturel,https://www.sunwaypyramid.com/static/shops/3f5bdcf218f90761d28f56933e10ac06/w768.png,Beauty,"D’NATUREL is a brand, which offers Freshly Handmade cosmetic, skin care and personal care products, which are Vegetarian and Natural. D’NATUREL as a brand focuses on Better Living. KBI Direct owns the brand. The Journey of D’NATUREL started with the idea of bringing Natural, Handmade and Vegetarian cosmetic and personal care products manufactured in Europe to Malaysia and other ASEAN countries. Experienced producers using high quality ingredients manufacture D’NATUREL products in Europe. Organic products are deemed to be more beneficial for the skin as it is presumed there are little to no harsh chemical ingredients, and are marketed thus. It ensures the skin is not exposed to foreign ingredients such as parabens (preservatives) which could cause adverse effects, such as subjecting skin to allergies and possibly stimulating cancer cell growth, in a study that was revealed late last year. D’NATUREL business model of directly selling to consumers along with lower margins enable us to offer these quality products to all our consumers at affordable prices. Europe is one of the biggest and matured market for organic and natural products. Organic and Natural products come with a whole range of skin benefits and therefore it offers a healthy and better lifestyle. No harmful chemicals are used in them as compared to regular products. D’NATUREL ranges of products are natural, handmade and 100% vegetarian hence suitable for everybody. We offer organic products as well. The synthetics used in some of our products are 100% safe synthetics. D’NATUREL products range covers multiple categories and our aim is to keep expanding into other categories and make natural products affordable for everyone. All D’NATUREL products are approved by the National Pharmaceutical Authority of Malaysia and are SAFE to USE.
#BeautyTreats",LG2.105 (Lower Ground 2 Floor),"LG2.105 Sunway Pyramid Mall, Jalan PJS 11/15, Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia","review_rating:2, text:I'm starting to feel suspicious about the purity of their essential oil. Because when you think about it, on the bottle label it says 'Product of UK'. Is it Ulu Klang? I challenge you, D'Naturel, to provide clear evidence that you source your oils from the United Kingdom. If you don't respond to this question, it means it's fake. | review_rating:5, text:A really nice gem of a shop I came across. Friendly staff and really appealing products. All natural and organic soaps with a price well worth it's quality. Becareful if you have children because the soaps looks so good it looks delicious that they might cry thinking they're treats. These make really wonderful gifts! I will come back again in the future | review_rating:1, text:Very bad experience with sales manager there at Nu mall, I bought few items and I am frequent customer
I am buying it for friend to give her experience  she herself came to me leaving behind her customer I was not convinced with oils moved to soap section asked her to advise what to buy for first time users and told her they live in Middle East. She started shouting at me how does it matter where they live and we r selling it for humans , you disturbed me from customer. I tried to understand why is she so arrogant and told I am considering climate for which she says what’s “climate” and give respect to her. I asked plz call manager she says she is the manager keep shouting
Looking at her I felt pity for her poor customer communication and angry issues she has I came out from shop
I request respective floor floor manager to address her issues
This happened around 430 pm on 9 July I couldn’t get her name | review_rating:5, text:I am from the UK. I can confirm that the products available in this store are from the UK. | review_rating:1, text:On 29th January 2024, I was not expected to be sarcastically and rudely assisted by one of your staff name ""TARA"" fyi Indian . She being prejudice and judgy. I was looking for a products for my photoshoot for my clients. Considering your so called Handmade products suitable for the campaign. Her way of answering question is rude and sassy, I believe not many customers also shop at your outlet and nobody knows the brand including me. Expecting more friendly and more information shared for me to understand the products. She is not the right person to be at front desk, need to fix her attitude and also her face skin. This will show the level of your products quality in personal care line business. I dont have time to write this long, but I have to because Im a business owner too and I have more than 30 staff working for me. I did complaint to Paradigm Mall customer service too. Hope she will be fired at least. Thanks.",4.5,+60 3-5612 2877,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
"D'Special Day Décor, Gift & Balloon",https://www.sunwaypyramid.com/static/shops/5b8a76ddee54e1fc79afade9d732c289/w768-crop.jpg,https://www.sunwaypyramid.com/directory/dspecial-day-decor-gift-and-balloon,https://www.sunwaypyramid.com/static/shops/071293131fb2c3e234e348f3ad1cd1b8/w768.png,Asian Avenue,"""Celebration and Happiness"". Trendy Balloon Shop located in Sunway Pyramid and we provide delivery service too. This unique hybrid shop (party and gift) that opens from 10am-10pm daily for your convenience. We provide the most trendy, cosy & unique collections for living lifestyle and decorations for all celebrations like Birthdays, Wedding, Company Event, New Launching, Fair and many more. We present many interesting festive seasons gifts and decor during Halloween and Christmas as well.",F1.AV.42 (First Floor),"F1.AV.42, F Floor, Sunway Pyramid Shopping Center, Jalan PJS 11/15, Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia","review_rating:5, text:Had a very good experience. The salespersons Fatimah and Zanzu assisted me in choosing the best combination for my son's birthday balloons. | review_rating:5, text:Helpful and great service given by staff.
Must be expert in wrapping gift 🫰 | review_rating:5, text:Fatimah and Zanzu were incredibly nice and friendly! Highly recommended! 😍❤️ | review_rating:5, text:Fatimah and Shakina thank you for the service. They are very friendly and helpful. Definitely recommend this shop to buy gifts. | review_rating:5, text:Shop located at the higher floor of the mall that sells all your party needs, decor, greeting cards, gifts, balloons, birthday celebrations, toys and faux bouquets for your friends, family, or that special someone.

They offer helium pump service for the helium balloons that you purchase with them together with a little weight. Helium lasts for at least 2-3 days.",4.7,+60 10-263 1279,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
