,name,ratings,displayNam,phone_numbers,nationalPhoneNumber,opening_hours_list,category,formattedAddress
30,بارفو,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
31,Segafredo Zanetti Espresso,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
32,Traditional and Antique Store,(5⭐) بصراحه سوق جميل جدا - a year ago,Traditional and Antique Store,N/A,N/A,N/A,home_goods_store,"العثيم مول الربوة ، الدائري الشرقي مخرج ١٤ بوابه ٢ ، الدور الثاني قبل الاخير،الرياض، الربوة،, الربوة، الرياض 12839،, Saudi Arabia"
33,خميس مشيط حي الرصاص,(5⭐) No Review - 2 months ago,‏خميس مشيط حي الرصاص,N/A,N/A,N/A,condominium_complex,"MQPG+734, Zouhair Ibn Al Mousayeb, Ar Rabwah, Riyadh 12839, Saudi Arabia"
34,ICE CREAM SHOP,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
35,صراف الراجحي,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
36,مادلين,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
37,Aeropostale,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
38,فيكتوريا سيكريت,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
39,لفيل _Level الربوة,(1⭐) No Review - 2 months ago | (5⭐) No Review - 6 months ago,لفيل _Level الربوة,N/A,N/A,N/A,shoe_store,"MQMG+G3P العثيم مول، Ar Rabwah, Riyadh 12839, Saudi Arabia"
40,روائع الأمزون,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
41,سوكس بوكس,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
42,اكسسورايز,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
43,الوسام,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
44,othaim 154,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
45,تنتي توني,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
46,Women'Secret,(5⭐) بس اللحوج كثيرين - a year ago | (5⭐) No Review - a year ago,Women'Secret,+966 800 301 5000,800 301 5000,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 1:00 – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM",clothing_store,"مخرج 14, Eastern Ring Branch Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
47,Lasenza,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
48,عالم الكريب,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
49,عالم بازال للعبايات,"(1⭐) الموقع سيء جدا بسبب وجود مسمار بارز شق الجزمة وانت كرامة والمسؤلة تقول شارين المحل جديد بتاريخ 4 يوليو / 2024 الخميس
الامن والسلامة اهم شيء مين يعوضني الخسائر
اتمنى عمل صيانة سريعة مع العلم الموظفة قالت بلغتهم - 8 months ago | (5⭐) عطيته خمس نجوم عشان الموظفة شوق ذوق واحترام  تساعدك وتفهمك وتعطيك العباية اللي تناسبك تماماً وعندهم دايم عروض حلوه - 9 months ago | (1⭐) لا يوجد التزام في ساعات العمل المحل مقفل - a year ago",عالم بازال للعبايات,N/A,N/A,N/A,store,"MQPF+GWP, Ar Rabwah, Riyadh 12839, Saudi Arabia"
50,سينامون فاكتوري - CNMN Factory,(5⭐) جربت عندهم امريكانو مضبوووط جدا ، واسعارهم معقوله اول تجربه بس مو الاخيره 🤩🤩🖤🖤🖤🖤 - 2 months ago | (5⭐) لذيذه جدا جدا والخدمة ممتازة - 2 months ago | (5⭐) No Review - 3 months ago,سينامون فاكتوري - CNMN Factory,N/A,N/A,N/A,coffee_shop,"MQMG+F4P عند امباير سينما بجانب مانش وامام بياتو، Eastern Ring Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
51,Balabala,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
52,Crocs,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
53,تو اتش 2H,(5⭐) No Review - a year ago | (5⭐) No Review - a year ago | (5⭐) No Review - a year ago,تو اتش 2H,N/A,N/A,N/A,shoe_store,"7HP8MQMG+G5, Ar Rabwah, Riyadh 12839, Saudi Arabia"
54,أديداس العثيم مول الربوة,"(1⭐) سيء جدا. Terrible customer service. Extremely rude employees in panorama mall. - a year ago | (1⭐) They are limited in quality and expensive, the staff is so rude. - 6 years ago | (4⭐) The material is good and the size is perfect - 4 years ago | (5⭐) Good - 11 months ago | (4⭐) Gentle. - 3 years ago",Mihyar مهيار,+966 58 280 9613,058 280 9613,"Monday: 10:00 AM – 11:00 PM, Tuesday: 10:00 AM – 11:00 PM, Wednesday: 10:00 AM – 11:00 PM, Thursday: 10:00 AM – 11:00 PM, Friday: 5:00 – 11:00 PM, Saturday: 10:00 AM – 11:00 PM, Sunday: 10:00 AM – 11:00 PM",clothing_store,"14215 Othaim Mall، 6511 Eastern Ring Branch Rd, Ar Rabwah, Riyadh 14215, Saudi Arabia"
55,Sweets Island - Jelly Rush,(1⭐) هذي ثاني مرة أجي والموظفة غير موجودة ، اسوأ مكان تتعامل معه قمة الاستهتار بأوقات الناس .. المشكلة طالب ودافع ومن اسبوع ما أخذت طلبيتي .. ما انصح أحد فيه - 3 years ago | (4⭐) فرعكم الي بالعثيم مول الربوة موجود ف دور كم؟؟ - 3 years ago | (2⭐) لم يعجبني - 2 years ago,Sweets Island - Jelly Rush,+966 55 866 4450,055 866 4450,"Monday: 4:00 – 11:00 PM, Tuesday: 4:00 – 11:00 PM, Wednesday: 4:00 – 11:00 PM, Thursday: 4:00 – 11:00 PM, Friday: 4:00 – 11:00 PM, Saturday: 4:00 – 11:00 PM, Sunday: Closed",candy_store,"Eastern Ring Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
56,Alwan Alaqeeq for Jewelry Est. | مؤسسة ألوان العقيق للمجوهرات,(4⭐) المحل روووعه عندهم اشكال رووعه ومختلف عن باقي المحلات - 2 years ago | (5⭐) جيد - a year ago | (5⭐) No Review - a year ago,Alwan Alaqeeq for Jewelry Est. | مؤسسة ألوان العقيق للمجوهرات,+966 50 608 7007,050 608 7007,N/A,jewelry_store,"Exit 28, Central, Khurais Branch Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
57,لين للإكسسوارات,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
58,نور ميسان,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
59,Fill It,(1⭐) بعد مادفعت انتبهت للخضار بايته ومكشوفه طول اليوم اخذتها ساده - 9 months ago | (2⭐) طلبت خضار وأثناء الأكل يطلع طعم  شي معفن من الخضار اللي حطها   حتى الخضار واضح انها ماهي جديده بااايته فانتبهو - a year ago | (1⭐) ما علمني ان مفي لحم او دجاج إلى بعد ما دفعت - a year ago | (5⭐) لذيييييييييذ حدا - a year ago,Fill It,N/A,N/A,N/A,mexican_restaurant,"العثيم مول, الدور الثاني, الطريق الدائري الشرقي، الربوة، بوابة 2, الرياض 12839, Saudi Arabia"
60,العيسائي,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
61,إيفا,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
62,Okaidi,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
63,مواقف سيارات - العثيم مول,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
64,parking,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
65,مصرف الراجحي,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
66,AlGhafees,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
67,ميني بان كيك كافيه,(5⭐) جيد جدا انصح بزيارته - a year ago | (5⭐) No Review - a year ago | (5⭐) No Review - a year ago | (5⭐) No Review - a year ago,ميني بان كيك كافيه,N/A,N/A,N/A,coffee_shop,"MQPF+CWF, Eastern Ring Rd, الفرعي،، Riyadh 12839, Saudi Arabia"
68,Jasmine | جاسمن,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
69,Swiss Corner For Watches,"(5⭐) السلام عليكم
الخدمة في الفرع جداً ممتازة ومن سنوات اتعامل معهم
واشكر الموظفة المتعاونه جداً شيخة جزاها الله خير على تعاملها الراقي - 5 months ago | (1⭐) الخدمة من قبل الموظفين اللي بالفرع ده قمة في السوء وقلة الذوق.
وارسلت شكاوى ليكم ولكن لا حياء لمن تنادي. - a year ago | (4⭐) No Review - 11 months ago | (5⭐) No Review - a year ago",Swiss Corner For Watches,N/A,N/A,N/A,jewelry_store,"Al Othaim mall, Ar Rabwah, Riyadh 12839, Saudi Arabia"
70,Pumpkin Patch,(3⭐) Good offets - 8 years ago | (3⭐) جيد - 6 years ago | (5⭐) No Review - 5 years ago | (5⭐) No Review - 6 years ago,Pumpkin Patch,N/A,N/A,"Monday: 8:00 AM – 10:00 PM, Tuesday: 8:00 AM – 10:00 PM, Wednesday: 8:00 AM – 10:00 PM, Thursday: 8:00 AM – 10:00 PM, Friday: 8:00 AM – 10:00 PM, Saturday: 8:00 AM – 10:00 PM, Sunday: 8:00 AM – 10:00 PM",clothing_store,"7454 Eastern Ring Branch Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
71,باسكن,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
72,Own Gift,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
73,موضه بارك شنط وأحذيه وأكسسوارات نسائيه,(2⭐) رحت عشان التخفيضات بس للامانة مو كثير عجبني بس فيه تنوع بضائع - a month ago | (5⭐) رووووعه - 3 weeks ago | (3⭐) جيد - in the last week | (5⭐) No Review - 8 months ago | (1⭐) No Review - 11 months ago,موضه بارك شنط وأحذيه وأكسسوارات نسائيه,N/A,N/A,"Monday: 9:30 AM – 11:00 PM, Tuesday: 9:30 AM – 11:00 PM, Wednesday: 9:30 AM – 11:00 PM, Thursday: 9:30 AM – 11:00 PM, Friday: 4:00 – 11:00 PM, Saturday: 9:30 AM – 11:00 PM, Sunday: 9:30 AM – 11:00 PM",store,"زهير بن المسيب، الربوة،، MQPG+734, Ar Rabwah, Riyadh 12839, Saudi Arabia"
74,بنك الرياض,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
75,لوسيل أكسسورايز,(4⭐) لوسيل محل جميل واسعاره بمتناول الجميع ويحطون عروض والموظفات اخلاقهم طيبه بالعثيم مول بالربوه - 4 months ago | (1⭐) فرع فاشل وشروط إلا ستبدل إلا تطبق يكتب لك في الفاتوره ولاا يطبقها - 11 months ago | (5⭐) هند متعاونه الله يسعدها ❤️ - 9 months ago | (5⭐) جمييل جداً وتعامل راقي - a year ago | (5⭐) No Review - a year ago,لوسيل أكسسورايز,+966 55 052 2780,055 052 2780,"Monday: 9:00 AM – 11:00 PM, Tuesday: 9:00 AM – 11:00 PM, Wednesday: 9:00 AM – 11:00 PM, Thursday: 9:00 AM – 11:00 PM, Friday: 3:30 – 11:00 PM, Saturday: 9:00 AM – 11:00 PM, Sunday: 9:00 AM – 11:00 PM",store,"Eastern Ring Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
76,187 العربية للعود | Arabian Oud,(5⭐) ممتاز - 2 years ago | (5⭐) No Review - a month ago | (5⭐) No Review - a year ago | (5⭐) No Review - a year ago | (1⭐) No Review - 3 years ago,187 العربية للعود | Arabian Oud,+966 9200 09692,9200 09692,"Monday: 9:00 AM – 12:00 AM, Tuesday: 9:00 AM – 12:00 AM, Wednesday: 9:00 AM – 12:00 AM, Thursday: 9:00 AM – 12:00 AM, Friday: 4:00 PM – 12:00 AM, Saturday: 9:00 AM – 12:00 AM, Sunday: 9:00 AM – 12:00 AM",clothing_store,"Zouhair Ibn Al Mousayeb, Ar Rabwah, Riyadh 12839, Saudi Arabia"
77,لافي إن روز La Vie En Rose,(1⭐) يا ريت الموظفة تحسن اسلوبها مع الناس !!! كان في شي ما عليه سعر و الاسعار تختلف الحين من وقت لاخر في التخفيضات . سألتها اذا ممكن اشوف سعره كلمتني باسلوب مرة وحش !! عيب ترى خصوصا اني عميلة دائمة  عندكم. - 2 years ago | (1⭐) التعامل سيئ اول مادخلنا قالت قفلنا قفلنا باسلوب سوقي - 5 months ago | (1⭐) ساعة مقفل المحل لصلاة العشاء ، كل المحلات فتحت الا هذا المحل - 2 years ago | (5⭐) ممتاز - 2 years ago | (1⭐) No Review - 2 years ago,لافي إن روز La Vie En Rose,+966 800 301 5000,800 301 5000,"Monday: 10:00 AM – 9:30 PM, Tuesday: 10:00 AM – 9:30 PM, Wednesday: 10:00 AM – 9:30 PM, Thursday: 10:00 AM – 9:30 PM, Friday: 10:00 AM – 9:30 PM, Saturday: 10:00 AM – 9:30 PM, Sunday: 10:00 AM – 9:30 PM",clothing_store,"مخرج 14, Eastern Ring Branch Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
78,غناتي Ghanaty,"(5⭐) العطور جداً رائعه ومتنوعه والخصومات ولا اروع وعندهم موظفه اسمها ميعاد قمه بالذوق والاخلاق ساعدتني ف الاختيارات الله يسعدها سعيده لتجربة عطور غناتي😍 - 2 months ago | (5⭐) ما اعرف وش اسم الموظفة لكن ارجع كل كم شهر واخذ منها بخور غناتي كميات لانها مدحته لي مو تسويق بس شافتني ضايعة فيهم وعطتني عينة ونصحتني بالأجمل والصدق ريحته تجنن وفهمت ذوقي ورجعت لها بعد ماجربته في البيت كم مره اشيل منه كميات
الله يسعدها البنات السعوديات في الفرع عسل اتمنى جد يحافظون عليهم - a month ago | (5⭐) موظفات عثيم الربوه منيره وميعاد افضل موظفات غناتي بجميع الفروع - 3 months ago | (1⭐) جدا رهيب .. الان تغير موقعه اصبح مقابل بول اند بير بوابه 2 الدو الثاني - 4 months ago | (1⭐) أخروني ١٠ دقايق عشان يطبعون لي فاتوره👎🏼👎🏼 - a month ago",غناتي Ghanaty,+966 55 377 1877,055 377 1877,"Monday: 9:00 AM – 11:00 PM, Tuesday: 9:00 AM – 11:00 PM, Wednesday: 9:00 AM – 11:00 PM, Thursday: 9:00 AM – 11:00 PM, Friday: 4:00 – 11:00 PM, Saturday: 9:00 AM – 11:00 PM, Sunday: 9:00 AM – 11:00 PM",store,"MQMG+V57 Saffori land، Eastern Ring Branch Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
