,Unnamed: 0,name,ratings,displayNam,phone_numbers,nationalPhoneNumber,opening_hours_list,category,formattedAddress
30,30,لفيل للاحذيه والشنط العثيم مول,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
31,31,روشن للإتصالات,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
32,32,صانع السعادة,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
33,33,فيفيد فلير لندن,No Reviews,Eastern Ring Branch Road & Exit 14,N/A,N/A,N/A,intersection,"Eastern Ring Branch Road & Exit 14, Ar Rabwah, Riyadh 12824, Saudi Arabia"
34,34,المليحة,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
35,35,Newblack,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
36,36,ذكرى للعطور العثيم مول الاحساء,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
37,37,bossini بوسيني,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
38,38,مطعم فيروزي,No Reviews,Eastern Ring Branch Road & Exit 14,N/A,N/A,N/A,intersection,"Eastern Ring Branch Road & Exit 14, Ar Rabwah, Riyadh 12824, Saudi Arabia"
39,39,إيفاجاردن,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
40,40,سيزون | Season,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
41,41,رينا,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
42,42,هجر ستور,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
43,43,العيسائي,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
44,44,Salam Mobile,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
45,45,جومانا JOMANA (فساتين نسائية فساتين سهرة جلابيات),No Reviews,Eastern Ring Branch Road & Exit 14,N/A,N/A,N/A,intersection,"Eastern Ring Branch Road & Exit 14, Ar Rabwah, Riyadh 12824, Saudi Arabia"
46,46,موج الشرقية للعبايات,No Reviews,Eastern Ring Branch Road & Exit 14,N/A,N/A,N/A,intersection,"Eastern Ring Branch Road & Exit 14, Ar Rabwah, Riyadh 12824, Saudi Arabia"
47,47,Okaidi,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
48,48,OZEN اكسسوارات أوزن,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
49,49,الوليف العثيم مول - الاحساء,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
50,50,شاورما ايطاليانو,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
51,51,مجوهرات عزيز Aziz Jewellery,No Reviews,Aziz,N/A,N/A,N/A,N/A,"Aziz, Sebt Aziz, Algeria"
52,52,قصة للعطور | Gissah Perfumes,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
53,53,عبايات ايلان,No Reviews,Eastern Ring Branch Road & Exit 14,N/A,N/A,N/A,intersection,"Eastern Ring Branch Road & Exit 14, Ar Rabwah, Riyadh 12824, Saudi Arabia"
54,54,Latt Liv لات ليف,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
55,55,Othaim Hyper Market,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
56,56,Action Zone,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
57,57,VANS,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
58,58,مسجد العثيم مول ط1,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
59,59,بانو,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
60,60,مانجو,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
61,61,الملحم ذهب و ألماس,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
62,62,ركن رنين,No Reviews,Eastern Ring Branch Road & Exit 14,N/A,N/A,N/A,intersection,"Eastern Ring Branch Road & Exit 14, Ar Rabwah, Riyadh 12824, Saudi Arabia"
63,63,ريف العطور,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
64,64,Daiso Japan - Al Othaim Mall,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
65,65,Herfy,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
66,66,ANWARICA CERAMICS,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
67,67,زين,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
68,68,كوانتيلون | Cuantillon,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
69,69,الحصيني للساعات,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
70,70,DOODLES,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
71,71,Polo beverly hills بولو بيفرلي هيلز العثيم,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
72,72,Palmas cafe بالمس كافي,No Reviews,Palmas,N/A,N/A,N/A,N/A,"Palmas, State of Tocantins, Brazil"
73,73,L'Occitane En Provence - Othaim Mall Ahsa,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
74,74,الشمس والرمال,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
75,75,أيرو بوستال,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
76,76,اطياب المرشود,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
77,77,طه النمر للمجوهرات,No Reviews,Eastern Ring Branch Road & Exit 14,N/A,N/A,N/A,intersection,"Eastern Ring Branch Road & Exit 14, Ar Rabwah, Riyadh 12824, Saudi Arabia"
78,78,Terranova,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
79,79,كارديال,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
80,80,SNB AlAhli ATM,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
81,81,جوس تايم -العثيم,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
82,82,حلاتي بعباتي,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
83,83,friespy,No Reviews,Eastern Ring Branch Road & Exit 14,N/A,N/A,N/A,intersection,"Eastern Ring Branch Road & Exit 14, Ar Rabwah, Riyadh 12824, Saudi Arabia"
84,84,Crocs,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
85,85,محترف,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
86,86,مطعم ايطالي,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
87,87,Dallah Cafe Ehsaa,"(4⭐) Very nice red tea with ginger, we loved the mocca also. The staff is kind and caring. Recommended if you're looking for a saudi coffee shop👍 - a year ago | (5⭐) He is a friendly person with high morals and loves to work. Thank you very much 🤍kevin jay tenebro - 10 months ago | (4⭐) Nice cafe with good service - 4 years ago | (5⭐) I love coffee ☕ - 2 years ago | (1⭐) انا كنت زماان احب قهوتهم السعوديه كانت مميزه بالهيل والزعفران ولونها وريحتها تفتح النفس
اليوم تغيرت تغيير جذري ولا اعلم السبب!!
هل تغير الموظفين او صاحب الحلال باعه او نوع القهوه غيروها. للاسف
اضطريت اروح للموظفه وغيرت لي بكابتشينو
الكابتشينو وسط مو مره مضبوط
وطلبت سان سباستيان حلو =٢٥ - 3 months ago",Dallah Cafe,+966 55 806 8706,055 806 8706,"Monday: 9:00 AM – 11:30 PM, Tuesday: 9:00 AM – 11:30 PM, Wednesday: 9:00 AM – 11:30 PM, Thursday: 9:00 AM – 11:30 PM, Friday: 9:00 AM – 11:30 PM, Saturday: 9:00 AM – 11:30 PM, Sunday: 9:00 AM – 11:30 PM",cafe,"7454، 4088 Eastern Ring Branch Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
88,88,شادر,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
89,89,بلاك فاشن,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
90,90,Guess,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
91,91,"ماي سكارف , الإحساء",(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
92,92,Femi9فيمي,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
93,93,رينيسانس,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
94,94,Midi,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
95,95,الغزالي,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
96,96,ستراديفاريوس,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
97,97,مكياجي,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
