name,category,location,reviews,rating,nationalPhoneNumber,opening_hours
SHISEIDO,"wholesaler, point_of_interest, establishment","Sunway Pyramid, Parkson, No. 3, Jalan PJS 11/15, Selangor, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Had a pleasant first experience with Shiseido today. Their beauty consultant Vonny is just lovely, she immediately knew the exact lip tone i described and wanted, and extra service with her Korean style lip makeup, no pressure, no judginess, just plain “ikhlas” at doing her duty. Hope Shiseido treats you well my dear, because you are a treasure. | review_rating:5, text:Thanks to Secret who’s working at Shiseido , He is helpful and attentive . My product sold out , I requested him to what’s app me if it’s available again and reserve it for me . I finally able to purchase it . Happy | review_rating:3, text:Store is easily found. Good location
Went for free samples.
Unlikely other skincare store, the staff here let me feel like they don't need new customer 😅 I was there literally just to receive sample. No bond between staff and customer.
Without a good communication, I don't think customer will come back if they think the product are good to purchase.
Maybe another branch will do. | review_rating:5, text:A flagship store for the Japanese cosmetic giant at one of the area's premium shopping galleries. This outlet caters to the skincare and cosmetic needs for both women and men alike. The retail advisors here are not pushy and very experienced in product recommendations. They have on hand, the lastest range, some of which are available for testing in-house. | review_rating:5, text:Went here and Parkson Shiseido and to redeem free samples and both store advisors are really friendly and explain patiently how to use the product. Thank you!",4.6,+60 3-7492 0819,N/A
Glomade Art,"shopping_mall, point_of_interest, establishment","3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Very large. If I lived here, I would take a few months to even fully explore the place, much less try out all of the stores. Pretty fun, lots to eat and shop, so honestly it's worth living nearby. Food isn't very pricey so that's also a plus. | review_rating:4, text:As a frequent visitor, here’s my take on Sunway Pyramid:
•	Diverse Shopping: With a wide array of shops, it caters to all family members, from fashion to gadgets.
•	Family-Friendly Activities: The mall features an indoor ice-skating rink and a massive arcade that are perfect for kids and adults alike. My daughter loves to play at Parenthood. They have upgraded it too recently and we enjoyed it.
•	Food Haven: Offers an extensive selection of dining options from fast food to upscale restaurants. For Indian food you can try Mantra Restaurant (Not great but decent)
•	Convenient Layout: Despite its size, the mall is well-organized, making navigation easy.
•	Themed Decor: The Egyptian-inspired architecture adds a unique charm, making every visit memorable.

It is connected to Sunway Lagoon. | review_rating:5, text:Sunway Pyramid is truly a shopper’s paradise and a fantastic destination for entertainment, dining, and more. The mall is enormous, with a wide variety of stores ranging from luxury brands to affordable options. The unique Egyptian-themed architecture makes it stand out, creating a visually stunning experience as you explore. The food court offers an excellent selection of delicious cuisines, and there’s always something happening, from events to exciting attractions. The staff is friendly, and the facilities are well-maintained. A perfect place for a family outing or a day of shopping—highly recommend! | review_rating:5, text:Sunway Pyramid is truly a gem in the heart of the city! From the moment you step inside, you’re greeted with a vibrant atmosphere and an impressive array of shops, making it a perfect destination for shopping, dining, and entertainment. The mall is vast, with a wide variety of stores, from high-end fashion boutiques to trendy local brands, ensuring there’s something for everyone.

The design of the mall itself is stunning, with its iconic Egyptian-themed architecture adding a unique flair. The spacious layout makes it easy to navigate, and the many open areas and atriums offer a refreshing break from shopping.

What stands out the most is the variety of dining options. Whether you’re in the mood for casual bites or fine dining, Sunway Pyramid has it all. From international cuisines to local favorites, the food court and restaurants offer a delightful selection to suit any taste.

For entertainment, the options are just as diverse. Whether you’re catching the latest blockbuster at the cinema, having fun at the ice skating rink, or exploring the interactive attractions, there’s never a dull moment at this mall.

The staff are always friendly, and the overall experience is top-notch. Sunway Pyramid truly caters to every need, making it a perfect spot for family outings, friends’ gatherings, or solo trips. A place where shopping meets fun and excitement—highly recommend it! | review_rating:5, text:My visit to Sunway Pyramid was an incredible experience. This iconic shopping mall, with its distinctive pyramid-shaped exterior, offers a unique blend of shopping, dining, and entertainment. The vast array of stores includes both high-end brands and popular retail chains, catering to all tastes and budgets. The themed sections, like the Egyptian-inspired design, add an extra touch of excitement and novelty. We also had the chance to watch live ice hockey, which was an unexpected thrill! The mall is so large that we could only explore about a quarter of it in a day. The food court and various restaurants provide a diverse selection of cuisines. Whether you're shopping, dining, or enjoying the entertainment, Sunway Pyramid offers a vibrant and memorable experience 🛍️🍔🏰🏒",4.5,+60 3-7494 3100,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
JUICY FRESH JUICE BAR,"juice_shop, food, point_of_interest, establishment","LG 1.70A Sunway Pyramid Jalan PJS 11/15, Petaling Jaya, Bandar Sunway, 47500 Subang Jaya, Selangor, Malaysia","review_rating:3, text:I normally get my juice fix here because the menu is easy to understand.
But the service here is lackluster, like what most reviews have said. The cashier was a foriegn worker and I didn't know what he was mumbling.
Most tables are left dirty and not cleaned. The rubbish bin looks disgusting. | review_rating:1, text:I’ve always wanted to try Juicy ever since I started using Shopee e-vouchers. Today, I finally gave it a shot and ordered an Avocado drink since it was on sale for just RM8. While it was tasty and decent for the price, I don’t think it quite met the standard of a full-priced RM12.90 drink.

What really let me down, however, was the cashier’s attitude during my visit. As a first-timer at Juicy, I was hoping for a little guidance, but the female staff didn’t bother explaining the avocado drink options on the menu. Instead, she abruptly asked, “Avocado apa?” without pointing out the choices from the start. After I paid, she handed me the receipt without a word of thanks. Even though I said “thank you” to her, she didn’t smile or acknowledge it—her expression clearly showed she didn’t want to be there.

The lack of professionalism became even more apparent when the next customer (as seen in the photo) pointed out a mistake in their order. Rather than apologising and fixing the drink, the staff exchanged annoyed glances with each other. Based on this experience and previous Google reviews, it’s obvious that the staff could use serious training in customer service and might not be suited for Front-of-House roles in F&B. | review_rating:5, text:Have always love the juices here. My A Time FAV, AVOCADO Milk. Rm12.90 , 1 size only. Its licated at LG1, opp of Leather Avenue. After a tired shopping, may drop by here chillax with a cup of juice. | review_rating:1, text:I don’t leave usually like to leave negative reviews but I have noticed this pattern with your employees especially the new cashier. Today I came at 9:20, they were already tallying up the cash which is fine but as  I approached the counter they look disinterested in taking the order infact I would say they were annoyed that I came to buy. They were whispering when I approached. I am a frequent visitor at sunway pyramid but I realised that this only happens at your shop and I have noticed this multiple times prior to this occasion also. I understand everyone wants to finish  and close up to go back home but 9:20 it’s seems ridiculous. Even after my turn there were 3 more group of customers and the main cashier’s attitude was the same. What’s weird is that the cashier and the other worker seem to be giggling with each other but when serving customers they seemed like they just couldn’t care. I am not asking for much, just at least pretend to be interested if you’re in the service industry. I work in f&b too so I understand. | review_rating:1, text:Poorly trained staff very rude, acting like they will doing you a favour. Juice  itself
was good. Should of walked to look for a Boost Juice. Will not support again.",3.1,+60 19-385 5853,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Celebrity Fitness,"gym, health, sports_activity_location, point_of_interest, establishment","Lot LL2A.01 & LL3.01A, Sunway Pyramid, 3, Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:1, text:One of the worst customer services i have ever experienced, we were told our subscription is for 4months ONLY but it was all false advertising from their sales manager and the contract was actually technically forever till u cancel it( we didnt know that, we thought it was 4 months like they said) found out 2 months later and got charged for two extra months after that!! When we tried to explain that we didnt know that, they didnt even wanna hear us and kept mentioning its in the contract and at one point threatened us to sue if we refuse to pay. They never ATLEAST apologised but instead they were talking rudely back. Never recommending this place to anyone ever. I would give it zero stars if i can | review_rating:1, text:SCAM GYM DO NOT GO HERE me and my friend signed up together for 4 months subscription but end up THEY CHARGE US FOR A WHOLE YEAR CAUSE DIDNT CANCEL AUTOMATICALLY AFTER 4 MONTHS ???? i only realized after i noticed suspicious specific amount being deducted from my bank account every month which is their monthly fee DISHONEST ESTABLISHMENT DISHONEST STAFF SEEMS LIKE ITS BEEN GOING ON FOR YEARS JUST READ THE REVIEWS | review_rating:4, text:One of the furst few branches of celebrity fitness in Malaysia. Used to be a 2-storey gym, but they did a renovation during MCO, and the 2nd floor was shut down...
Still, this is branch can be considered larger than other new  branches such as jayaone, mytown, metro kajang, the mines, palm mall etc...
The free weight area of this branch is relatively large, even larger than midvalley branch.. the equipments are well maintained...
However, during weekday's after office hour, the gym would be super crowded.... even on weekends, this outlet is more crowded than other branches, probably due to its location in a shopping mall..
For easier access from the carpark, you may choose the carpark entrace that is heading tonthe underground carpark (from the main carpark entrance).. | review_rating:1, text:They focus on keep signing up people without having the manners to treat customers, having a bad attitude toward customers, not having a good faith about the payments and facilities. I know being strict is an essential thing for a fitness gym but when they are not honest this act feels like a scam. Facilities mostly either work poorly or are broken and need repair. And in some hours the gym is full of people, basically not enough equipment to use, with the price they request, there should be more than enough. | review_rating:1, text:Bad enough you guys open earliest 7am which is a rush for those who work to have a proper workout. On sats at 8am like today for example none of  your machines are switched on. Sleeping huh",3.5,+60 1-300-22-2348,"Monday: 7:00 AM – 10:00 PM, Tuesday: 7:00 AM – 10:00 PM, Wednesday: 7:00 AM – 10:00 PM, Thursday: 7:00 AM – 10:00 PM, Friday: 7:00 AM – 10:00 PM, Saturday: 8:00 AM – 8:00 PM, Sunday: 8:00 AM – 8:00 PM"
Wacoal,"clothing_store, store, point_of_interest, establishment","LG1.50 LG1 Floor, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Have been 3 times with mom. Ms Liza is one of the best salesperson. She is great with guidance for the right bra size as well as tips and tricks. Also, always letting us know the best current deals. Will keep going to Sunway Wacoal outlet. Definately recommend. | review_rating:5, text:The sales person name, Liza is good service, friendly and also provide detailed explaination about panties.
Definitely I will look for her for next time purchase. | review_rating:5, text:i lurve the quality and style 🥹 the staff (Miss Liza) is friendly and helpful too!! She helped me to choose the best for me 🫶🏻 lurveeee the service 🫶🏻 | review_rating:4, text:Erm I'm quite shock when read through comments on the Chinese lady. But
I was being served by a malay lady. She was very helpful and knowledgeable. Love her service so much, definitely will be back because of her. | review_rating:1, text:All the way from Klang I came to sunway wacol with the hope of getting few wacoal bra but the promoter ignored me and standing at cashier area, I went and asked her ""can someone help me?"" She gave me stares and answered me unhappily!
i left the place without buying anything. I have been there many times. Bt this is the 1st time seeing this lazy and rude promoter! The hospitality is very bad!",3.5,+60 3-5613 0556,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Mail Boxes Etc,"courier_service, point_of_interest, establishment","CP3.01, Car Park Level 3 (Orange Atrium) Sunway Pyramid, No.3, Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:The guy in counter is soft spoken. despite the long line. he handled customers very well. Kudos to him and this place to set up a printing service in the mall. Paid M40 price for photostat IC but it was worth not going out in the hot sun to find another place | review_rating:2, text:I went to collect my parcel today. After the foreign worker asked me for the pin, he asked me, ""Sampai bila?"" I was confused by his question and thought he was asking about the expiry or last collection date. So, I showed him my phone, but he started checking all the previous messages. I reminded him that the other parcels mentioned in the previous messages had already been collected and that he only needed to check the last message.

He spoke to me in an unfriendly manner and asked, ""Parcel bila sampai?"" That was when I finally understood his question. I informed him that the parcel had just arrived today. However, at the end, he said to me in a blaming tone, ""Lain kali bagi tahu parcel bila sampai, sini parcel banyak.""

Another staff member (Kakak with glasses) kindly explained to me that, because they have so many parcels, they usually categorize them by the received date.

I understand the workload, but I must say this:

Normally, I drop my parcels at the Mentari branch, but since that branch was full, I decided to use this branch instead. However, I will never drop my parcels here again.

Please provide proper training to your foreign worker in Bahasa Malaysia to avoid giving customers incorrect information and then blaming us for it afterward. | review_rating:5, text:The malay staff is veryyyyyy friendly and provided good services! | review_rating:5, text:Friendly staff, make easy process to shipping. Very helpful... | review_rating:1, text:Dropped my parcels at 7pm  today, and they have 2 hours to scan before closing and yet they did not scanned it.

Thanks to them I have lost my Preferred status in Shopee due to ""Late Shipment"" even though I as a seller has already tried my very best to post it out on the very same day.  However, we seller being ""punished"" for these irresponsible staff working in this outlet.

Yes I know you need to serve your walk ins, but please be mindful to scan it la after serving them, so hard to scan ke?

Not demure at all. Not responsible at all.

Don't forget we platform sellers, are your customers too.

Update to reply owner:

Your reply already shows that you don't even bother about it. Thanks for proving my point. Again , I dont expect the parcels to scan IMMEDIATELY.  Expecting people to give you good review and rating while don't even have the means to reply customer that you will try your best to serve better? How you know that I don't bother to change my rating? Arrogant.",4.6,+60 3-5612 4501,"Monday: 10:00 AM – 9:00 PM, Tuesday: 10:00 AM – 9:00 PM, Wednesday: 10:00 AM – 9:00 PM, Thursday: 10:00 AM – 9:00 PM, Friday: 10:00 AM – 9:00 PM, Saturday: 10:00 AM – 7:00 PM, Sunday: 10:00 AM – 7:00 PM"
Jewelry Fashion Boutique,"shopping_mall, point_of_interest, establishment","3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Very large. If I lived here, I would take a few months to even fully explore the place, much less try out all of the stores. Pretty fun, lots to eat and shop, so honestly it's worth living nearby. Food isn't very pricey so that's also a plus. | review_rating:4, text:As a frequent visitor, here’s my take on Sunway Pyramid:
•	Diverse Shopping: With a wide array of shops, it caters to all family members, from fashion to gadgets.
•	Family-Friendly Activities: The mall features an indoor ice-skating rink and a massive arcade that are perfect for kids and adults alike. My daughter loves to play at Parenthood. They have upgraded it too recently and we enjoyed it.
•	Food Haven: Offers an extensive selection of dining options from fast food to upscale restaurants. For Indian food you can try Mantra Restaurant (Not great but decent)
•	Convenient Layout: Despite its size, the mall is well-organized, making navigation easy.
•	Themed Decor: The Egyptian-inspired architecture adds a unique charm, making every visit memorable.

It is connected to Sunway Lagoon. | review_rating:5, text:Sunway Pyramid is truly a shopper’s paradise and a fantastic destination for entertainment, dining, and more. The mall is enormous, with a wide variety of stores ranging from luxury brands to affordable options. The unique Egyptian-themed architecture makes it stand out, creating a visually stunning experience as you explore. The food court offers an excellent selection of delicious cuisines, and there’s always something happening, from events to exciting attractions. The staff is friendly, and the facilities are well-maintained. A perfect place for a family outing or a day of shopping—highly recommend! | review_rating:5, text:Sunway Pyramid is truly a gem in the heart of the city! From the moment you step inside, you’re greeted with a vibrant atmosphere and an impressive array of shops, making it a perfect destination for shopping, dining, and entertainment. The mall is vast, with a wide variety of stores, from high-end fashion boutiques to trendy local brands, ensuring there’s something for everyone.

The design of the mall itself is stunning, with its iconic Egyptian-themed architecture adding a unique flair. The spacious layout makes it easy to navigate, and the many open areas and atriums offer a refreshing break from shopping.

What stands out the most is the variety of dining options. Whether you’re in the mood for casual bites or fine dining, Sunway Pyramid has it all. From international cuisines to local favorites, the food court and restaurants offer a delightful selection to suit any taste.

For entertainment, the options are just as diverse. Whether you’re catching the latest blockbuster at the cinema, having fun at the ice skating rink, or exploring the interactive attractions, there’s never a dull moment at this mall.

The staff are always friendly, and the overall experience is top-notch. Sunway Pyramid truly caters to every need, making it a perfect spot for family outings, friends’ gatherings, or solo trips. A place where shopping meets fun and excitement—highly recommend it! | review_rating:5, text:My visit to Sunway Pyramid was an incredible experience. This iconic shopping mall, with its distinctive pyramid-shaped exterior, offers a unique blend of shopping, dining, and entertainment. The vast array of stores includes both high-end brands and popular retail chains, catering to all tastes and budgets. The themed sections, like the Egyptian-inspired design, add an extra touch of excitement and novelty. We also had the chance to watch live ice hockey, which was an unexpected thrill! The mall is so large that we could only explore about a quarter of it in a day. The food court and various restaurants provide a diverse selection of cuisines. Whether you're shopping, dining, or enjoying the entertainment, Sunway Pyramid offers a vibrant and memorable experience 🛍️🍔🏰🏒",4.5,+60 3-7494 3100,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
6IXTY8IGHT,"clothing_store, store, point_of_interest, establishment","Unit LG1.115B, Lower Ground One, Sunway Pyramid Shopping Mall, 3, Jalan PJS 11/15, Bandar Sunway, 47500 Selangor, Malaysia","review_rating:5, text:The staff all friendly and nicely also beautifull. Helped me a lot suggested quality bra and panties in my size. Will come again | review_rating:5, text:Staff always polite and friendly. I'm regular customer of sixty eight and I buy most of my inner garments here because the quality is good and can last a long time, so it's worth the price point. Plus, their prices reduce alot when there is ongoing promotion | review_rating:2, text:I'd rate 5 stars if not for the bad attitude of one of the staff there (Tall, wore glasses, long black hair, tan skin). When I asked whether there's more sizes, she answered in a very impatient manner. Then I asked her if she could help me to update my membership account as a staff in Nu Sentral has registered my account under Hong Kong, she then proceeded to act passive agressive and told me to register a new account myself. Even though it's not her fault regarding the issue about my account, but she could have explained to me in a better manner. It's not the first time she has acted very rudely, the first time I bought from this branch, she was the cashier and she was also acting very unfriendly for no reason... | review_rating:5, text:Very nice products. Staff is very polite, friendly and helpful. | review_rating:1, text:Kindly be aware of the scamming here. A staff was helping to do cashier and I'm going to pay with card. Their terminal shown declined but immediately I got notication from bank saying it has successfully gone through. But they keep telling me they do not receive the payment.
The fat malay lady then come and tell me to contact my bank side as I'm the one being frustrated. Dude imagine you paid double and the merchant told you they got nothing and puss everything to bank.
The initial cashier girl then saying previously there's customer who faced this problem as well. I was like if your terminal on and off have problem, don't play with other money.
The fat lady I'm not sure who named puteri or Putra pls man, she legit have to go through training and understand the word customer service.",4.9,+60 12-247 6801,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
XIXILI,"clothing_store, store, point_of_interest, establishment","Lot G1.82a, Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:I had a wonderful first experience at the XIXILI in Sunway Pyramid!  The staff was fantastic, especially the malay lady who assisted me.  She was incredibly knowledgeable and experienced, taking the time to properly measure me and patiently guiding me through several options until I found the perfect fit.  I really appreciated her expertise and personalized service. Was very satisfied with the purchase. Highly recommend!!! | review_rating:5, text:Was attended by a Malay lady, very experienced and friendly. Felt safe and comfortable with her helping me with my fit. | review_rating:5, text:Was served by Min, a malay lady. She is very attentive and helpful. She provided her professional suggestion in deciding which to choose and superb friendly. Initiated in helping me to get the right size in changing room without the need to step out. Definitely deserve a shout out! The registration hv some prob but she is very patient and did it on behalf of me later on. | review_rating:5, text:Had a pleasant experience here. The lady that attended to me was knowledgeable and showed me the right bra size for me. It's always hard finding a right fit for those with large cup size. I suggest you try xixili's. No back and shoulder pain. No headache. | review_rating:1, text:Got such a bad experience over there.
Was told can get a rm15 discount using an apps but was not given any proper instructions to do so due to the aunty was multi-tasking and serving other customer while I was doing payment. After that was told was my mistake why didn’t click the voucher and was not given chance to refund even jus newly bought. Wil never ever come back again, very very disappointed for the services! Was never expect can get a discount, but if u inform a customer wil get a discount pls guide ur customer next time.",3.9,+60 16-222 2311,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Babyshop,"clothing_store, child_care_agency, store, point_of_interest, establishment","LG2.05, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:I came here to exchange an item which I had bought from the curve. Thank you Ms Fatin for helping me. She has provided me with excellent customer service 🫰 Also the staffs here are helpful, friendly & always cheerful 👍
""The power of finding beauty in the humblest things makes people happy and life lovely."" | review_rating:5, text:Fantastic experience shopping here! Their staff Mr. Mifzal was incredibly friendly and welcoming, and their service was top-notch. Highly recommend this store to anyone looking for quality products and outstanding customer service. Will definitely be back! | review_rating:5, text:I thoroughly enjoyed my visit at Babyshop Sunway Pyramid, particularly the assistance that Mr. Mifzal offered. He was really helpful, understanding, and provided great customer service. I would have purchased more items if I hadn't been in a rush. His services are the reason I'll be back in the store! | review_rating:5, text:The staff name Zal suggest me to buy a gift for my friend and my friend really love it. Thank you so much for the time & help me to choose the right gift for my close friend. He is so polite , helpful , understand customer needs. Tq for the service. | review_rating:5, text:I had a fantastic experience at the Baby shop! Mr.Mifzal was incredibly helpful and knowledgeable. He took the time to answer all my questions and guided me to the perfect products for my baby. The selection was great, and the service was outstanding. I highly recommend visiting this shop and asking for Mr. Mifzal, A Babyshop Sales Assistant – he truly made my shopping experience enjoyable!""",4.5,+60 3-5891 4988,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Nespresso,"food_store, store, point_of_interest, food, establishment","Lot LG1.33B, Lower Ground One, Sunway Pyramid Mall, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Good explaination by the staff En. Mus. Good Profuct Knowlefge . Planning  to get machine from this shot on my next trip. Good Job | review_rating:5, text:Mus, our service personnel was excellent in service and knowledge. Was very happy with his presentation and guide of usage of Nespresso machines. | review_rating:1, text:Poor customer services. Greeted the sales and he stared at me and a “ya”. Made some inquiries and gotten unwilling responses | review_rating:5, text:learnt a lot of knowledge and having good conversation from the staff here about coffee as newbie. | review_rating:4, text:Small kiosk (between Costa Coffee and Zara) selling Nespresso pods and machines. Extra stars because you can bring your used aluminium pods here for recycling. Still minus one star due to Nestle’s ‘questionable’ ethical standards.",3.5,+60 1-800-80-7001,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Royal County of Berkshire Polo Club,"clothing_store, store, point_of_interest, establishment","G1-111, 3, Jalan PJS 11/15, Bandar Sunway, 46150 Petaling Jaya, Selangor, Malaysia","review_rating:1, text:The staff(Sisca) attitude is very bad and disrespect to customer in sunway piramid polo club. When ask if there is other size to test, she ignore and said just test which pattern u want first on the display. Second, when ask to take the bag to see the design, said difficult to take and too expensive to see. Very disrespectful attitude | review_rating:1, text:The shop promoter attitude is very bad. Due to the clothes cutting is vary, we request to try a few different size to make sure we can get the right size before buying, the promoter showing bad face and showing gesture very troublesome and not will to help, the thing is we were just trying 3 pcs of clothes only.  And now I know why this shop has no customers always. | review_rating:1, text:Staff busy talking to each other and don't bother to serve till we called them. | review_rating:5, text:No Review",2,+60 3-5632 2217,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
Cactus Paradise,"country, political",Malaysia,No Reviews,N/A,N/A,N/A
Gula Petite By Gula Cakery,"shopping_mall, point_of_interest, establishment","3, Jalan PJS 11/15, Bandar Sunway, 47500 Petaling Jaya, Selangor, Malaysia","review_rating:5, text:Very large. If I lived here, I would take a few months to even fully explore the place, much less try out all of the stores. Pretty fun, lots to eat and shop, so honestly it's worth living nearby. Food isn't very pricey so that's also a plus. | review_rating:4, text:As a frequent visitor, here’s my take on Sunway Pyramid:
•	Diverse Shopping: With a wide array of shops, it caters to all family members, from fashion to gadgets.
•	Family-Friendly Activities: The mall features an indoor ice-skating rink and a massive arcade that are perfect for kids and adults alike. My daughter loves to play at Parenthood. They have upgraded it too recently and we enjoyed it.
•	Food Haven: Offers an extensive selection of dining options from fast food to upscale restaurants. For Indian food you can try Mantra Restaurant (Not great but decent)
•	Convenient Layout: Despite its size, the mall is well-organized, making navigation easy.
•	Themed Decor: The Egyptian-inspired architecture adds a unique charm, making every visit memorable.

It is connected to Sunway Lagoon. | review_rating:5, text:Sunway Pyramid is truly a shopper’s paradise and a fantastic destination for entertainment, dining, and more. The mall is enormous, with a wide variety of stores ranging from luxury brands to affordable options. The unique Egyptian-themed architecture makes it stand out, creating a visually stunning experience as you explore. The food court offers an excellent selection of delicious cuisines, and there’s always something happening, from events to exciting attractions. The staff is friendly, and the facilities are well-maintained. A perfect place for a family outing or a day of shopping—highly recommend! | review_rating:5, text:Sunway Pyramid is truly a gem in the heart of the city! From the moment you step inside, you’re greeted with a vibrant atmosphere and an impressive array of shops, making it a perfect destination for shopping, dining, and entertainment. The mall is vast, with a wide variety of stores, from high-end fashion boutiques to trendy local brands, ensuring there’s something for everyone.

The design of the mall itself is stunning, with its iconic Egyptian-themed architecture adding a unique flair. The spacious layout makes it easy to navigate, and the many open areas and atriums offer a refreshing break from shopping.

What stands out the most is the variety of dining options. Whether you’re in the mood for casual bites or fine dining, Sunway Pyramid has it all. From international cuisines to local favorites, the food court and restaurants offer a delightful selection to suit any taste.

For entertainment, the options are just as diverse. Whether you’re catching the latest blockbuster at the cinema, having fun at the ice skating rink, or exploring the interactive attractions, there’s never a dull moment at this mall.

The staff are always friendly, and the overall experience is top-notch. Sunway Pyramid truly caters to every need, making it a perfect spot for family outings, friends’ gatherings, or solo trips. A place where shopping meets fun and excitement—highly recommend it! | review_rating:5, text:My visit to Sunway Pyramid was an incredible experience. This iconic shopping mall, with its distinctive pyramid-shaped exterior, offers a unique blend of shopping, dining, and entertainment. The vast array of stores includes both high-end brands and popular retail chains, catering to all tastes and budgets. The themed sections, like the Egyptian-inspired design, add an extra touch of excitement and novelty. We also had the chance to watch live ice hockey, which was an unexpected thrill! The mall is so large that we could only explore about a quarter of it in a day. The food court and various restaurants provide a diverse selection of cuisines. Whether you're shopping, dining, or enjoying the entertainment, Sunway Pyramid offers a vibrant and memorable experience 🛍️🍔🏰🏒",4.5,+60 3-7494 3100,"Monday: 10:00 AM – 10:00 PM, Tuesday: 10:00 AM – 10:00 PM, Wednesday: 10:00 AM – 10:00 PM, Thursday: 10:00 AM – 10:00 PM, Friday: 10:00 AM – 10:00 PM, Saturday: 10:00 AM – 10:00 PM, Sunday: 10:00 AM – 10:00 PM"
